Symbol,InstrumentToken,TradingSymbol,Token,Insert_Token
TORNTPHARM,2109,TORNTPHARM-EQ,3518,NSE|3518
TORNTPOWER,8360,TORNTPOWER-EQ,13786,NSE|13786
TRENT,1525,TRENT-EQ,1964,NSE|1964
TRIDENT,3723,TRIDENT-EQ,9685,NSE|9685
TRITURBINE,11012,TRITURBINE-EQ,25584,NSE|25584
TRIVENI,6568,TRIVENI-EQ,13081,NSE|13081
TTKPRESTIG,2119,TTKPRESTIG-EQ,3546,NSE|3546
TTML,3465,TTML-EQ,8954,NSE|8954
TV18BRDCST,8542,TV18BRDCST-EQ,14208,NSE|14208
TVSMOTOR,3223,TVSMOTOR-EQ,8479,NSE|8479
UBL,6630,UBL-EQ,16713,NSE|16713
UCOBANK,3954,UCOBANK-EQ,11223,NSE|11223
UFLEX,1138,UFLEX-EQ,1053,NSE|1053
ULTRACEMCO,4104,ULTRACEMCO-EQ,11532,NSE|11532
UNIONBANK,3898,UNIONBANK-EQ,10753,NSE|10753
UPL,3999,UPL-EQ,11287,NSE|11287
UTIAMC,19612,UTIAMC-EQ,527,NSE|527
VAIBHAVGBL,4024,VAIBHAVGBL-EQ,11364,NSE|11364
VAKRANGEE,4708,VAKRANGEE-EQ,13342,NSE|13342
VARROC,90386,VARROC-EQ,3857,NSE|3857
VBL,74814,VBL-EQ,18921,NSE|18921
VEDL,1909,VEDL-EQ,3063,NSE|3063
VENKEYS,2202,VENKEYS-EQ,3757,NSE|3757
VGUARD,9283,VGUARD-EQ,15362,NSE|15362
VIJAYA,34572,VIJAYA-EQ,5585,NSE|5585
VINATIORGA,5393,VINATIORGA-EQ,17364,NSE|17364
VIPIND,2171,VIPIND-EQ,3703,NSE|3703
VMART,11603,VMART-EQ,29284,NSE|29284
VOLTAS,2178,VOLTAS-EQ,3718,NSE|3718
VTL,563,VTL-EQ,2073,NSE|2073
WELCORP,3964,WELCORP-EQ,11821,NSE|11821
WELSPUNIND,3966,WELSPUNIND-EQ,11253,NSE|11253
WESTLIFE,26563,WESTLIFE-EQ,11580,NSE|11580
WHIRLPOOL,551,WHIRLPOOL-EQ,18011,NSE|18011
WIPRO,2211,WIPRO-EQ,3787,NSE|3787
WOCKPHARMA,3257,WOCKPHARMA-EQ,7506,NSE|7506
YESBANK,7169,YESBANK-EQ,11915,NSE|11915
ZEEL,2224,ZEEL-EQ,3812,NSE|3812
ZENSARTECH,1145,ZENSARTECH-EQ,1076,NSE|1076
ZFCVINDIA,9513,ZFCVINDIA-EQ,16915,NSE|16915
ZOMATO,25564,ZOMATO-EQ,5097,NSE|5097
ZYDUSLIFE,3001,ZYDUSLIFE-EQ,7929,NSE|7929
ZYDUSWELL,6093,ZYDUSWELL-EQ,17635,NSE|17635
